id,display_name,works_count,h_index,country_code,works_api_url
A5101890757,Nan Feng,120,20,CN,https://api.openalex.org/works?filter=author.id:A5101890757
A5032499168,Xiaoyu Qi,88,12,CN,https://api.openalex.org/works?filter=author.id:A5032499168
A5080267104,Genki Ichinose,84,17,JP,https://api.openalex.org/works?filter=author.id:A5080267104
A5111667138,Laura E. Nelson,20,12,US,https://api.openalex.org/works?filter=author.id:A5111667138
A5100786203,Minsuk Kim,97,16,KR,https://api.openalex.org/works?filter=author.id:A5100786203
A5000013234,Valerii Chirkov,6,3,DE,https://api.openalex.org/works?filter=author.id:A5000013234
A5075527094,Luca Verginer,39,7,CH,https://api.openalex.org/works?filter=author.id:A5075527094
A5101799446,Toru Takahashi,385,44,JP,https://api.openalex.org/works?filter=author.id:A5101799446
A5059645286,Robert West,2611,130,NL,https://api.openalex.org/works?filter=author.id:A5059645286
A5012197691,Susumu Nagayama,5,5,JP,https://api.openalex.org/works?filter=author.id:A5012197691
A5078906245,Antonio Longa,33,7,IT,https://api.openalex.org/works?filter=author.id:A5078906245
A5040820784,Afsaneh Razi,49,14,US,https://api.openalex.org/works?filter=author.id:A5040820784
A5071794190,Yulin Yu,23,11,CN,https://api.openalex.org/works?filter=author.id:A5071794190
A5061483468,Carsten Jung,22,7,GB,https://api.openalex.org/works?filter=author.id:A5061483468
A5085986638,Tiago Ventura,52,9,US,https://api.openalex.org/works?filter=author.id:A5085986638
A5074054039,Duc Quang Tran,52,9,US,https://api.openalex.org/works?filter=author.id:A5074054039
A5069939742,Zakir Durumeric,91,27,US,https://api.openalex.org/works?filter=author.id:A5069939742
A5066924384,Zening Duan,8,5,US,https://api.openalex.org/works?filter=author.id:A5066924384
A5054311085,Hend Alrasheed,35,10,SA,https://api.openalex.org/works?filter=author.id:A5054311085
A5093136192,Oğuz Gürerk,6,1,TR,https://api.openalex.org/works?filter=author.id:A5093136192
A5100669855,Yilun Liu,201,36,CN,https://api.openalex.org/works?filter=author.id:A5100669855
A5064171835,Mathias Wullum Nielsen,63,22,DK,https://api.openalex.org/works?filter=author.id:A5064171835
A5030571651,Jürgen Pfeffer,183,26,DE,https://api.openalex.org/works?filter=author.id:A5030571651
A5090252428,Anastasia Kuzminykh,49,8,CA,https://api.openalex.org/works?filter=author.id:A5090252428
A5063166187,Sam G. B. Roberts,76,22,GB,https://api.openalex.org/works?filter=author.id:A5063166187
A5084955495,Jisun An,175,30,US,https://api.openalex.org/works?filter=author.id:A5084955495
A5058226478,Honglin Bao,12,4,US,https://api.openalex.org/works?filter=author.id:A5058226478
A5066048702,Stefano Balietti,39,14,DE,https://api.openalex.org/works?filter=author.id:A5066048702
A5056583184,Giovanni Luca Ciampaglia,78,22,US,https://api.openalex.org/works?filter=author.id:A5056583184
A5075447958,Siyun Gan,5,2,CN,https://api.openalex.org/works?filter=author.id:A5075447958
A5066089123,Byungkyu Lee,186,13,US,https://api.openalex.org/works?filter=author.id:A5066089123
A5065811299,Stef M. Shuster,37,10,US,https://api.openalex.org/works?filter=author.id:A5065811299
A5102415619,Ahana Bhattacharya,8,4,IN,https://api.openalex.org/works?filter=author.id:A5102415619
A5046126345,David Jurgens,193,35,US,https://api.openalex.org/works?filter=author.id:A5046126345
A5075585231,Samuel P. Fraiberger,50,14,US,https://api.openalex.org/works?filter=author.id:A5075585231
A5073006299,Xizhao Wang,522,59,CN,https://api.openalex.org/works?filter=author.id:A5073006299
A5002034958,Christopher M. Danforth,209,33,US,https://api.openalex.org/works?filter=author.id:A5002034958
A5045620226,Abigail Z. Jacobs,39,11,US,https://api.openalex.org/works?filter=author.id:A5045620226
A5040821714,Dongyeop Kang,159,17,US,https://api.openalex.org/works?filter=author.id:A5040821714
A5054707908,David Rothschild,223,26,US,https://api.openalex.org/works?filter=author.id:A5054707908
A5062199735,Lavinia Dunagan,10,4,US,https://api.openalex.org/works?filter=author.id:A5062199735
A5070072188,Saumya Tripathi,15,4,US,https://api.openalex.org/works?filter=author.id:A5070072188
A5063612283,Segun Taofeek Aroyehun,28,7,DE,https://api.openalex.org/works?filter=author.id:A5063612283
A5042539788,Tom R. Leppard,8,2,US,https://api.openalex.org/works?filter=author.id:A5042539788
A5100600513,Pu Yan,41,25,CN,https://api.openalex.org/works?filter=author.id:A5100600513
A5066476974,Seoul Lee,114,20,KR,https://api.openalex.org/works?filter=author.id:A5066476974
A5100746010,Yixuan Liu,218,29,CN,https://api.openalex.org/works?filter=author.id:A5100746010
A5018964666,Lanu Kim,21,6,KR,https://api.openalex.org/works?filter=author.id:A5018964666
A5033831688,Alberto Acerbi,163,29,IT,https://api.openalex.org/works?filter=author.id:A5033831688
A5067139014,Yan Jiang,673,65,CN,https://api.openalex.org/works?filter=author.id:A5067139014
A5090329397,Zhuangyuan Fan,15,8,HK,https://api.openalex.org/works?filter=author.id:A5090329397
A5102733770,Anna Seo Gyeong Choi,6,2,US,https://api.openalex.org/works?filter=author.id:A5102733770
A5110796687,Mizuki Sakai,20,12,JP,https://api.openalex.org/works?filter=author.id:A5110796687
A5102448448,Tianyu Du,84,19,CN,https://api.openalex.org/works?filter=author.id:A5102448448
A5082353608,Christian Zingg,7,4,CH,https://api.openalex.org/works?filter=author.id:A5082353608
A5019453094,Shira Dvir-Gvirsman,65,22,IL,https://api.openalex.org/works?filter=author.id:A5019453094
A5060246267,Yunya Song,79,14,HK,https://api.openalex.org/works?filter=author.id:A5060246267
A5049634383,Kristina Lerman,1944,58,US,https://api.openalex.org/works?filter=author.id:A5049634383
A5052076681,Yilun Xu,64,18,SG,https://api.openalex.org/works?filter=author.id:A5052076681
