id,publication_year,cited_by_count,author_ids
https://openalex.org/W744855463,2014,2100,"['A5090631705', 'A5050149537', 'A5059645286']"
https://openalex.org/W2009386954,1993,715,"['A5056091804', 'A5059645286', 'A5033803383']"
https://openalex.org/W260300124,1983,695,['A5059645286']
https://openalex.org/W2530268835,2016,694,"['A5061227329', 'A5078089549', 'A5080370996', 'A5056202927', 'A5083886220', 'A5013162603', 'A5067879371', 'A5059645286', 'A5015773823']"
https://openalex.org/W1845748792,2013,633,"['A5002709735', 'A5030571651', 'A5100338921', 'A5085927300']"
https://openalex.org/W3021447918,2020,598,"['A5059645286', 'A5090631705', 'A5023975998', 'A5077841338']"
https://openalex.org/W2000231316,2006,524,['A5059645286']
https://openalex.org/W2148895878,2013,477,"['A5030571651', 'A5083199670', 'A5085927300']"
https://openalex.org/W2100637281,2009,415,"['A5063166187', 'A5064827570', 'A5008049737', 'A5039921154']"
https://openalex.org/W2105254196,2008,381,"['A5082048229', 'A5059645286']"
https://openalex.org/W2112392909,2014,378,"['A5082358191', 'A5008935489', 'A5037087050', 'A5063166187', 'A5029121256', 'A5064827570']"
https://openalex.org/W3035540457,2020,372,"['A5101689796', 'A5064171835', 'A5061960454', 'A5020296382', 'A5076973801']"
https://openalex.org/W1569223996,2014,350,"['A5069623259', 'A5059645286', 'A5004397159', 'A5058534097', 'A5011014926']"
https://openalex.org/W2497338278,2013,327,"['A5059645286', 'A5058534097']"
https://openalex.org/W2792531544,2018,301,"['A5090631705', 'A5059645286', 'A5033629153', 'A5000515781']"
https://openalex.org/W2042092282,2012,265,"['A5082048229', 'A5058534097', 'A5059645286']"
https://openalex.org/W1992728747,2014,236,"['A5089221571', 'A5072196671', 'A5069939742', 'A5016750811', 'A5085509658', 'A5056058864', 'A5065822688']"
https://openalex.org/W2891392898,2018,214,"['A5064171835', 'A5009103844', 'A5087340682']"
https://openalex.org/W3103442714,2014,189,"['A5084282503', 'A5024703272', 'A5030571651', 'A5021024536']"
https://openalex.org/W2346601903,2015,182,['A5064171835']
https://openalex.org/W2339782372,2016,169,"['A5085927300', 'A5015534160', 'A5051544089', 'A5030571651', 'A5024192305']"
https://openalex.org/W2196009790,2021,156,"['A5015534160', 'A5028407723', 'A5021523198', 'A5030571651']"
https://openalex.org/W2944488835,2019,150,"['A5017602735', 'A5030252017', 'A5058534097', 'A5076107680', 'A5113501513', 'A5090631705', 'A5059645286']"
https://openalex.org/W3128893582,2021,149,"['A5064171835', 'A5101689796']"
https://openalex.org/W3015313401,2020,136,"['A5059645286', 'A5090631705']"
https://openalex.org/W3179712694,2021,118,"['A5004882355', 'A5064171835', 'A5101689796', 'A5002085983']"
https://openalex.org/W4395664399,2024,14,"['A5101890757', 'A5102403612']"
https://openalex.org/W2124417784,1995,334,"['A5106741818', 'A5059645286', 'A5110695268', 'A5114375328']"
https://openalex.org/W2123828071,2001,301,"['A5059645286', 'A5005446898', 'A5110222405', 'A5028731847']"
https://openalex.org/W1988382218,1993,294,"['A5106234642', 'A5059645286', 'A5056091804', 'A5103389419']"
https://openalex.org/W2001188195,2010,228,"['A5008049737', 'A5063166187', 'A5064827570']"
https://openalex.org/W2117741074,2010,227,"['A5060610138', 'A5052720011', 'A5059645286']"
https://openalex.org/W2017717334,2010,225,"['A5063166187', 'A5064827570']"
https://openalex.org/W2111761833,2011,198,"['A5008049737', 'A5063166187', 'A5064827570']"
https://openalex.org/W1981554624,2010,183,"['A5063166187', 'A5064827570']"
https://openalex.org/W2057575363,2015,165,"['A5024445264', 'A5090631705', 'A5082048229', 'A5021853180', 'A5059645286']"
